timestamp,value,classification
1717200000000,72,Greed
1717286400000,73,Greed
1717372800000,73,Greed
1717459200000,73,Greed
1717545600000,75,Greed
1717632000000,78,Extreme Greed
1717718400000,77,Extreme Greed
1717804800000,72,Greed
1717891200000,75,Greed
1717977600000,72,Greed
1718064000000,74,Greed
1718150400000,72,Greed
1718236800000,70,Greed
1718323200000,74,Greed
1718409600000,74,Greed
1718496000000,71,Greed
1718582400000,71,Greed
1718668800000,74,Greed
1718755200000,64,Greed
1718841600000,60,Greed
1718928000000,63,Greed
1719014400000,53,Neutral
1719100800000,55,Greed
1719187200000,51,Neutral
1719273600000,30,Fear
1719360000000,46,Fear
1719446400000,40,Fear
1719532800000,47,Neutral
1719619200000,30,Fear
1719705600000,47,Neutral
1719792000000,53,Neutral
1719878400000,51,Neutral
1719964800000,50,Neutral
1720051200000,44,Fear
1720137600000,29,Fear
1720224000000,26,Fear
1720310400000,29,Fear
1720396800000,28,Fear
1720483200000,27,Fear
1720569600000,28,Fear
1720656000000,29,Fear
1720742400000,25,Extreme Fear
1720828800000,25,Extreme Fear
1720915200000,33,Fear
1721001600000,52,Neutral
1721088000000,65,Greed
1721174400000,69,Greed
1721260800000,61,Greed
1721347200000,60,Greed
1721433600000,74,Greed
1721520000000,74,Greed
1721606400000,70,Greed
1721692800000,71,Greed
1721779200000,69,Greed
1721865600000,68,Greed
1721952000000,68,Greed
1722038400000,72,Greed
1722124800000,71,Greed
1722211200000,74,Greed
1722297600000,67,Greed
1722384000000,61,Greed
1722470400000,52,Neutral
1722556800000,57,Greed
1722643200000,37,Fear
1722729600000,34,Fear
1722816000000,26,Fear
1722902400000,17,Extreme Fear
1722988800000,29,Fear
1723075200000,20,Extreme Fear
1723161600000,48,Neutral
1723248000000,40,Fear
1723334400000,39,Fear
1723420800000,25,Extreme Fear
1723507200000,31,Fear
1723593600000,30,Fear
1723680000000,29,Fear
1723766400000,27,Fear
1723852800000,25,Extreme Fear
1723939200000,31,Fear
1724025600000,28,Fear
1724112000000,30,Fear
1724198400000,26,Fear
1724284800000,39,Fear
1724371200000,34,Fear
1724457600000,56,Greed
1724544000000,54,Neutral
1724630400000,55,Greed
1724716800000,48,Neutral
1724803200000,30,Fear
1724889600000,29,Fear
1724976000000,34,Fear
1725062400000,29,Fear
1725148800000,26,Fear
1725235200000,26,Fear
1725321600000,26,Fear
1725408000000,27,Fear
1725494400000,29,Fear
1725580800000,22,Extreme Fear
1725667200000,23,Extreme Fear
1725753600000,29,Fear
1725840000000,26,Fear
1725926400000,33,Fear
1726012800000,37,Fear
1726099200000,31,Fear
1726185600000,32,Fear
1726272000000,50,Neutral
1726358400000,51,Neutral
1726444800000,39,Fear
1726531200000,33,Fear
1726617600000,45,Fear
1726704000000,49,Neutral
1726790400000,54,Neutral
1726876800000,54,Neutral
1726963200000,52,Neutral
1727049600000,50,Neutral
1727136000000,54,Neutral
1727222400000,59,Greed
1727308800000,50,Neutral
1727395200000,61,Greed
1727481600000,64,Greed
1727568000000,63,Greed
1727654400000,61,Greed
1727740800000,50,Neutral
1727827200000,42,Fear
1727913600000,37,Fear
1728000000000,41,Fear
1728086400000,49,Neutral
1728172800000,50,Neutral
1728259200000,50,Neutral
1728345600000,49,Neutral
1728432000000,49,Neutral
1728518400000,39,Fear
1728604800000,32,Fear
1728691200000,49,Neutral
1728777600000,50,Neutral
1728864000000,48,Neutral
1728950400000,65,Greed
1729036800000,73,Greed
1729123200000,71,Greed
1729209600000,73,Greed
1729296000000,72,Greed
1729382400000,73,Greed
1729468800000,72,Greed
1729555200000,70,Greed
1729641600000,71,Greed
1729728000000,69,Greed
1729814400000,72,Greed
1729987200000,74,Greed
1730073600000,72,Greed
1730160000000,72,Greed
1730246400000,77,Extreme Greed
1730332800000,77,Extreme Greed
1730419200000,75,Greed
1730505600000,72,Greed
1730592000000,74,Greed
1730678400000,70,Greed
1730764800000,70,Greed
1730851200000,70,Greed
1730937600000,77,Extreme Greed
1731024000000,75,Greed
1731110400000,75,Greed
1731196800000,78,Extreme Greed
1731283200000,76,Extreme Greed
1731369600000,80,Extreme Greed
1731456000000,84,Extreme Greed
1731542400000,88,Extreme Greed
1731628800000,80,Extreme Greed
1731715200000,86,Extreme Greed
1731801600000,90,Extreme Greed
1731888000000,83,Extreme Greed
1731974400000,90,Extreme Greed
1732060800000,83,Extreme Greed
1732147200000,82,Extreme Greed
1732233600000,94,Extreme Greed
1732320000000,93,Extreme Greed
1732406400000,80,Extreme Greed
1732492800000,82,Extreme Greed
1732579200000,79,Extreme Greed
1732665600000,75,Greed
1732752000000,77,Extreme Greed
1732838400000,78,Extreme Greed
1732924800000,84,Extreme Greed
1733011200000,81,Extreme Greed
1733097600000,80,Extreme Greed
1733184000000,76,Extreme Greed
1733270400000,78,Extreme Greed
1733356800000,84,Extreme Greed
1733443200000,72,Greed
1733529600000,75,Greed
1733616000000,79,Extreme Greed
1733702400000,78,Extreme Greed
1733788800000,78,Extreme Greed
1733875200000,74,Greed
1733961600000,83,Extreme Greed
1734048000000,76,Extreme Greed
1734134400000,83,Extreme Greed
1734220800000,80,Extreme Greed
1734307200000,83,Extreme Greed
1734393600000,87,Extreme Greed
1734480000000,81,Extreme Greed
1734566400000,75,Greed
1734652800000,74,Greed
1734739200000,73,Greed
1734825600000,73,Greed
1734912000000,70,Greed
1734998400000,73,Greed
1735084800000,73,Greed
1735171200000,79,Extreme Greed
1735257600000,74,Greed
1735344000000,72,Greed
1735430400000,73,Greed
1735516800000,65,Greed
1735603200000,64,Greed
1735689600000,66,Greed
1735776000000,70,Greed
1735862400000,74,Greed
1735948800000,73,Greed
1736035200000,72,Greed
1736121600000,76,Extreme Greed
1736208000000,78,Extreme Greed
1736294400000,70,Greed
1736380800000,69,Greed
1736467200000,50,Neutral
1736553600000,69,Greed
1736640000000,62,Greed
1736726400000,61,Greed
1736812800000,63,Greed
1736899200000,70,Greed
1736985600000,75,Greed
1737072000000,75,Greed
1737158400000,77,Extreme Greed
1737244800000,77,Extreme Greed
1737331200000,76,Extreme Greed
1737417600000,76,Extreme Greed
1737504000000,84,Extreme Greed
1737590400000,75,Greed
1737676800000,75,Greed
1737763200000,75,Greed
1737849600000,73,Greed
1737936000000,71,Greed
1738022400000,72,Greed
1738108800000,72,Greed
1738195200000,70,Greed
1738281600000,76,Extreme Greed
1738368000000,68,Greed
1738454400000,60,Greed
1738540800000,44,Fear
1738627200000,72,Greed
1738713600000,54,Neutral
1738800000000,49,Neutral
1738886400000,44,Fear
1738972800000,44,Fear
1739059200000,46,Fear
1739145600000,43,Fear
1739232000000,47,Neutral
1739318400000,46,Fear
1739404800000,50,Neutral
1739491200000,48,Neutral
1739577600000,50,Neutral
1739664000000,54,Neutral
1739750400000,51,Neutral
1739836800000,47,Neutral
1739923200000,44,Fear
1740009600000,49,Neutral
1740096000000,55,Greed
1740182400000,49,Neutral
1740268800000,50,Neutral
1740355200000,49,Neutral
1740441600000,25,Extreme Fear
1740528000000,21,Extreme Fear
1740614400000,10,Extreme Fear
1740700800000,16,Extreme Fear
1740787200000,20,Extreme Fear
1740873600000,26,Fear
1740960000000,33,Fear
1741046400000,15,Extreme Fear
1741132800000,20,Extreme Fear
1741219200000,25,Extreme Fear
1741305600000,34,Fear
1741392000000,28,Fear
1741478400000,27,Fear
1741564800000,20,Extreme Fear
1741651200000,24,Extreme Fear
1741737600000,34,Fear
1741824000000,45,Fear
1741910400000,27,Fear
1741996800000,46,Fear
1742083200000,30,Fear
1742169600000,32,Fear
1742256000000,34,Fear
1742342400000,32,Fear
1742428800000,49,Neutral
1742515200000,31,Fear
1742601600000,32,Fear
1742688000000,30,Fear
1742774400000,45,Fear
1742860800000,46,Fear
1742947200000,47,Neutral
1743033600000,40,Fear
1743120000000,44,Fear
1743206400000,26,Fear
1743292800000,32,Fear
1743379200000,34,Fear
1743465600000,34,Fear
1743552000000,44,Fear
1743638400000,25,Extreme Fear
1743724800000,28,Fear
1743811200000,30,Fear
1743897600000,34,Fear
1743984000000,23,Extreme Fear
1744070400000,24,Extreme Fear
1744156800000,18,Extreme Fear
1744243200000,39,Fear
1744329600000,25,Extreme Fear
1744416000000,43,Fear
1744502400000,45,Fear
1744588800000,31,Fear
1744675200000,38,Fear
1744761600000,29,Fear
1744848000000,30,Fear
1744934400000,33,Fear
1745020800000,32,Fear
1745107200000,37,Fear
1745193600000,39,Fear
1745280000000,47,Neutral
1745366400000,72,Greed
1745452800000,63,Greed
1745539200000,60,Greed
1745625600000,65,Greed
1745712000000,61,Greed
1745798400000,54,Neutral
1745884800000,60,Greed
1745971200000,56,Greed
1746057600000,53,Neutral
1746144000000,67,Greed
1746230400000,65,Greed
1746316800000,64,Greed
1746403200000,52,Neutral
1746489600000,59,Greed
1746576000000,67,Greed
1746662400000,65,Greed
1746748800000,73,Greed
1746835200000,70,Greed
1746921600000,70,Greed
1747008000000,70,Greed
1747094400000,70,Greed
1747180800000,73,Greed
1747267200000,70,Greed
1747353600000,71,Greed
1747440000000,74,Greed
1747526400000,74,Greed
1747612800000,74,Greed
1747699200000,71,Greed
1747785600000,70,Greed
1747872000000,72,Greed
1747958400000,78,Extreme Greed
1748044800000,66,Greed
1748131200000,74,Greed
1748217600000,73,Greed
1748304000000,74,Greed
1748390400000,71,Greed
1748476800000,74,Greed
1748563200000,60,Greed
1748649600000,50,Neutral
1748736000000,56,Greed
1748822400000,64,Greed
1748908800000,64,Greed
1748995200000,62,Greed
1749081600000,57,Greed
1749168000000,45,Fear
1749254400000,52,Neutral
1749340800000,62,Greed
1749427200000,62,Greed
1749513600000,71,Greed
1749600000000,72,Greed
1749686400000,71,Greed
1749772800000,61,Greed
1749859200000,63,Greed
1749945600000,60,Greed
1750032000000,61,Greed
1750118400000,68,Greed
1750204800000,52,Neutral
1750291200000,57,Greed
1750377600000,54,Neutral
1750464000000,49,Neutral
1750550400000,42,Fear
1750636800000,47,Neutral
1750723200000,65,Greed
1750809600000,66,Greed
1750896000000,74,Greed
1750982400000,65,Greed
1751068800000,65,Greed
1751155200000,68,Greed
1751241600000,66,Greed
1751328000000,64,Greed
1751414400000,63,Greed
1751500800000,73,Greed
1751587200000,73,Greed
1751673600000,67,Greed
1751760000000,66,Greed
1751846400000,73,Greed
1751932800000,65,Greed
1752019200000,66,Greed
1752105600000,71,Greed
1752192000000,71,Greed
1752278400000,79,Extreme Greed
1752364800000,74,Greed
1752451200000,74,Greed
1752537600000,73,Greed
1752624000000,70,Greed
1752710400000,74,Greed
1752796800000,73,Greed
1752883200000,74,Greed
1752969600000,72,Greed
1753056000000,71,Greed
1753142400000,72,Greed
1753228800000,74,Greed
1753315200000,71,Greed
1753401600000,70,Greed
1753488000000,72,Greed
1753574400000,73,Greed
1753660800000,75,Greed
1753747200000,73,Greed
1753833600000,74,Greed
1753920000000,72,Greed
1754006400000,65,Greed
1754092800000,55,Greed
1754179200000,53,Neutral
1754265600000,64,Greed
1754352000000,60,Greed
1754438400000,54,Neutral
1754524800000,62,Greed
1754611200000,74,Greed
1754697600000,67,Greed
1754784000000,69,Greed
1754870400000,70,Greed
1754956800000,68,Greed
1755043200000,73,Greed
1755129600000,75,Greed
1755216000000,60,Greed
1755302400000,56,Greed
1755388800000,64,Greed
1755475200000,60,Greed
1755561600000,56,Greed
1755648000000,44,Fear
1755734400000,50,Neutral
1755820800000,50,Neutral
1755907200000,60,Greed
1755993600000,53,Neutral
1756080000000,47,Neutral
1756166400000,48,Neutral
1756252800000,51,Neutral
1756339200000,48,Neutral
1756425600000,50,Neutral
1756512000000,39,Fear
1756598400000,48,Neutral
1756684800000,46,Fear
1756771200000,49,Neutral
1756857600000,55,Greed
1756944000000,51,Neutral
1757030400000,48,Neutral
1757116800000,48,Neutral
1757203200000,44,Fear
1757289600000,51,Neutral
1757376000000,48,Neutral
1757462400000,49,Neutral
1757548800000,54,Neutral
1757635200000,57,Greed
1757721600000,52,Neutral
1757808000000,55,Greed
1757894400000,53,Neutral
1757980800000,52,Neutral
1758067200000,53,Neutral
1758153600000,52,Neutral
1758240000000,53,Neutral
1758326400000,48,Neutral
1758412800000,49,Neutral
1758499200000,45,Fear
1758585600000,43,Fear
1758672000000,44,Fear
1758758400000,44,Fear
1758844800000,28,Fear
1758931200000,33,Fear
1759017600000,37,Fear
1759104000000,50,Neutral
1759190400000,50,Neutral
1759276800000,49,Neutral
1759363200000,64,Greed
1759449600000,63,Greed
1759536000000,71,Greed
1759622400000,74,Greed
1759708800000,71,Greed
1759795200000,70,Greed
1759881600000,60,Greed
1759968000000,70,Greed
1760054400000,64,Greed
1760140800000,27,Fear
1760227200000,24,Extreme Fear
1760313600000,38,Fear
1760400000000,38,Fear
1760486400000,34,Fear
1760572800000,28,Fear
1760659200000,22,Extreme Fear
1760745600000,23,Extreme Fear
1760832000000,29,Fear
1760918400000,29,Fear
1761004800000,34,Fear
1761091200000,25,Extreme Fear
1761177600000,27,Fear
1761264000000,30,Fear
1761350400000,37,Fear
1761436800000,40,Fear
1761523200000,51,Neutral
1761609600000,50,Neutral
1761696000000,51,Neutral
1761782400000,34,Fear
1761868800000,29,Fear
1761955200000,33,Fear
1762041600000,37,Fear
1762128000000,42,Fear
1762214400000,21,Extreme Fear
1762300800000,23,Extreme Fear
1762387200000,27,Fear
1762473600000,24,Extreme Fear
1762560000000,20,Extreme Fear
1762646400000,22,Extreme Fear
1762732800000,29,Fear
1762819200000,26,Fear
1762905600000,24,Extreme Fear
1762992000000,15,Extreme Fear
1763078400000,16,Extreme Fear
1763164800000,10,Extreme Fear
1763251200000,10,Extreme Fear
1763337600000,14,Extreme Fear
1763424000000,11,Extreme Fear
1763510400000,15,Extreme Fear
1763596800000,11,Extreme Fear
1763683200000,14,Extreme Fear
1763769600000,11,Extreme Fear
1763856000000,13,Extreme Fear
1763942400000,19,Extreme Fear
1764028800000,20,Extreme Fear
1764115200000,15,Extreme Fear
1764201600000,22,Extreme Fear
1764288000000,25,Extreme Fear
1764374400000,28,Fear
1764460800000,28,Fear
1764547200000,24,Extreme Fear
1764633600000,23,Extreme Fear
1764720000000,28,Fear
1764806400000,26,Fear
1764892800000,28,Fear
1764979200000,23,Extreme Fear
1765065600000,20,Extreme Fear
1765152000000,20,Extreme Fear
1765238400000,22,Extreme Fear
1765324800000,26,Fear
1765411200000,29,Fear
1765497600000,29,Fear
1765584000000,23,Extreme Fear
1765670400000,21,Extreme Fear
1765756800000,16,Extreme Fear
1765843200000,11,Extreme Fear
1765929600000,16,Extreme Fear
1766016000000,17,Extreme Fear
1766102400000,16,Extreme Fear
1766188800000,20,Extreme Fear
1766275200000,20,Extreme Fear
1766361600000,25,Extreme Fear
1766448000000,24,Extreme Fear
1766534400000,24,Extreme Fear
1766620800000,23,Extreme Fear
1766707200000,20,Extreme Fear
1766793600000,23,Extreme Fear
1766880000000,24,Extreme Fear
1766966400000,24,Extreme Fear
1767052800000,23,Extreme Fear
1767139200000,21,Extreme Fear
1767225600000,20,Extreme Fear
1767312000000,28,Fear
1767398400000,29,Fear
1767484800000,25,Extreme Fear
1767571200000,26,Fear
1767657600000,44,Fear
1767744000000,42,Fear
1767830400000,28,Fear
1767916800000,27,Fear
1768003200000,25,Extreme Fear
1768089600000,29,Fear
1768176000000,27,Fear
1768262400000,26,Fear
1768348800000,48,Neutral
1768435200000,61,Greed
1768521600000,49,Neutral
1768608000000,50,Neutral
1768694400000,49,Neutral
1768780800000,44,Fear
1768867200000,32,Fear
1768953600000,24,Extreme Fear
1769040000000,20,Extreme Fear
1769126400000,24,Extreme Fear
1769212800000,25,Extreme Fear
1769299200000,25,Extreme Fear
1769385600000,20,Extreme Fear
1769472000000,29,Fear
1769558400000,29,Fear
1769644800000,26,Fear
1769731200000,16,Extreme Fear
1769817600000,20,Extreme Fear
1769904000000,14,Extreme Fear
1769990400000,14,Extreme Fear
1770076800000,17,Extreme Fear
1770163200000,14,Extreme Fear
1770249600000,12,Extreme Fear
1770336000000,9,Extreme Fear
1770422400000,6,Extreme Fear
1770508800000,7,Extreme Fear
1770595200000,14,Extreme Fear
1770681600000,9,Extreme Fear
1770768000000,11,Extreme Fear
1770854400000,5,Extreme Fear
1770940800000,9,Extreme Fear
1771027200000,9,Extreme Fear
1771113600000,8,Extreme Fear
1771200000000,12,Extreme Fear
1771286400000,10,Extreme Fear
1771372800000,8,Extreme Fear
1771459200000,9,Extreme Fear
1771545600000,7,Extreme Fear
1771632000000,8,Extreme Fear
1771718400000,9,Extreme Fear
1771804800000,5,Extreme Fear
1771891200000,8,Extreme Fear
1771977600000,11,Extreme Fear
1772064000000,11,Extreme Fear
1772150400000,13,Extreme Fear
1772236800000,11,Extreme Fear
1772323200000,14,Extreme Fear
1772409600000,10,Extreme Fear
1772496000000,14,Extreme Fear
1772582400000,10,Extreme Fear
1772668800000,22,Extreme Fear
1772755200000,18,Extreme Fear
1772841600000,12,Extreme Fear
1772928000000,12,Extreme Fear
1773014400000,8,Extreme Fear
1773100800000,13,Extreme Fear
1773187200000,15,Extreme Fear
1773273600000,18,Extreme Fear
1773360000000,15,Extreme Fear
1773446400000,16,Extreme Fear
1773532800000,15,Extreme Fear
1773619200000,23,Extreme Fear
1773705600000,28,Fear
1773792000000,26,Fear
1773878400000,23,Extreme Fear
1773964800000,11,Extreme Fear
1774051200000,12,Extreme Fear
1774137600000,10,Extreme Fear
1774224000000,8,Extreme Fear
1774310400000,11,Extreme Fear
1774396800000,14,Extreme Fear
1774483200000,10,Extreme Fear
1774569600000,13,Extreme Fear
1774656000000,12,Extreme Fear
1774742400000,9,Extreme Fear
1774828800000,8,Extreme Fear
1774915200000,11,Extreme Fear
1775001600000,8,Extreme Fear
